OrderID,CustomerName,Email,Phone,City,State,ProductCategory,Product,Quantity,UnitPrice,TotalPrice,OrderDate,PaymentMethod,Shipped
ORD1000,Catherine Merritt,kenneth13@hotmail.com,+1-080-148-7582x401,Lake Robert,Utah,Toys,Action Figure,8,1199.85,9598.8,2025-03-14,PayPal,No
ORD1001,Elizabeth Ross,aarmstrong@gmail.com,(086)580-2625,South Lisa,Delaware,Clothing,Basketball,8,366.9,2935.2,2024-12-29,Cash,Yes
ORD1002,Catherine Wilson,ktravis@anderson.net,6959525330,South Melinda,Wyoming,Clothing,T-shirt,9,944.29,8498.61,2025-09-13,Credit Card,No
ORD1003,David Turner,ffields@gmail.com,102-499-3144x465,Anachester,Washington,Toys,T-shirt,7,1974.44,13821.08,2025-07-19,PayPal,Yes
ORD1004,Anna Wallace,beth63@fowler-harrell.com,760.529.5466x1638,Wrighttown,Wyoming,Toys,Action Figure,4,154.76,619.04,2024-10-31,Credit Card,Yes
ORD1005,Brandon Friedman,whitezachary@yahoo.com,527.676.2089,New Michael,West Virginia,Clothing,Action Figure,4,1628.23,6512.92,2025-03-15,Cash,Yes
ORD1006,Richard Hawkins,kelseywest@gmail.com,001-592-943-8804x07552,West Keithton,Massachusetts,Sports,T-shirt,7,1102.13,7714.91,2025-08-11,Credit Card,No
ORD1007,Renee Wood,masonmarcus@hotmail.com,2239050907,Fredside,New York,Home,Vacuum,9,1157.32,10415.88,2024-10-24,Credit Card,Yes
ORD1008,Nicholas Herman,ualvarez@gmail.com,597-826-8319x6892,Kellyview,Nebraska,Sports,T-shirt,1,41.5,41.5,2025-04-23,Cash,No
ORD1009,Dr. Tammy Rodriguez,hughesmelissa@hotmail.com,001-631-027-4458x3429,Juarezborough,Michigan,Electronics,Action Figure,4,1350.62,5402.48,2025-01-03,Cash,Yes
ORD1010,Michaela Jackson,lawrencewarren@zuniga.com,(461)632-4113x97829,South Derektown,Arkansas,Clothing,T-shirt,7,278.42,1948.94,2024-11-09,Cash,No
ORD1011,Heather Harrison,kellyvictor@hotmail.com,001-619-790-2732,Craigfort,Texas,Toys,Basketball,9,1080.77,9726.93,2025-04-01,Credit Card,Yes
ORD1012,Lindsey Webb,jasminemiles@hotmail.com,+1-431-423-8385,New Kathleen,Oregon,Home,Action Figure,5,303.13,1515.65,2024-11-04,Credit Card,No
ORD1013,Joshua Garcia,nbyrd@garcia-garner.com,811.791.3322x692,New Reneetown,California,Electronics,Vacuum,3,1628.7,4886.1,2025-05-24,PayPal,Yes
ORD1014,Michael Davis,sharondavis@powell-hoover.com,001-152-242-4055,East Roberttown,Virginia,Sports,Action Figure,5,1435.74,7178.7,2025-10-04,Cash,No
ORD1015,Ivan Nelson,chandlernathan@graves.com,903.930.6741x77101,Hutchinsonland,Ohio,Home,Action Figure,4,1450.54,5802.16,2024-12-12,Credit Card,Yes
ORD1016,Bill Baker,amycollins@acevedo-sanchez.org,486-829-8247x022,Sandratown,Utah,Home,Vacuum,2,1491.07,2982.14,2025-08-13,Cash,Yes
ORD1017,Christopher Miller,qromero@hotmail.com,491.591.8502x896,Clarkehaven,Ohio,Toys,Laptop,4,86.23,344.92,2025-02-08,Cash,Yes
ORD1018,William Robertson,valerie30@hotmail.com,5398581100,Raymondtown,Arkansas,Sports,Vacuum,4,1369.86,5479.44,2025-06-08,PayPal,Yes
ORD1019,Jennifer Camacho,ktaylor@serrano.com,685.381.5122,Miguelshire,Wisconsin,Home,Action Figure,6,544.15,3264.9,2025-06-14,Cash,No
ORD1020,William House,martinezpeggy@gmail.com,(399)969-6641x259,Lake Michael,New Jersey,Sports,Vacuum,3,718.61,2155.83,2025-10-14,Credit Card,No
ORD1021,William Schwartz II,langtanya@medina.net,(501)395-9388,Lake Daniel,Florida,Sports,Vacuum,10,1968.72,19687.2,2025-06-10,Credit Card,Yes
ORD1022,Caitlin Cunningham,destinywang@lin.com,1670432387,East Janeburgh,Florida,Toys,Vacuum,4,22.66,90.64,2024-11-24,Credit Card,Yes
ORD1023,Julie Williams,latoya22@hotmail.com,(805)101-1875,Allisonfort,Florida,Clothing,Basketball,10,1920.11,19201.1,2025-07-29,Credit Card,Yes
ORD1024,Tamara Gilmore,chodges@ferguson.com,+1-921-596-8693x8027,Port Michaelville,Georgia,Clothing,Basketball,3,1753.68,5261.04,2024-11-04,Credit Card,No
ORD1025,Jacob Hayes,davidlarsen@davis-vasquez.com,+1-024-511-3322x06987,Michaeltown,Hawaii,Toys,Action Figure,4,1144.6,4578.4,2025-02-22,PayPal,No
